StoreID,MSA,City,ST,Zip,ClientVCompetitor,Division
9660000547,"RICHMOND, VA",RICHMOND,VA,23294,Grocery Client,DivisionP
9660000548,"RICHMOND, VA",NORTH CHESTERFIELD,VA,23235,Grocery Client,DivisionP
9660000549,"RICHMOND, VA",RICHMOND,VA,23231,Grocery Client,DivisionP
9660000550,"RICHMOND, VA",Henrico,VA,23238,Grocery Client,DivisionP
9660000551,"RICHMOND, VA",RICHMOND,VA,23221,Grocery Client,DivisionP
9660000552,"RICHMOND, VA",MIDLOTHIAN,VA,23113,Grocery Client,DivisionP
9660000553,"RICHMOND, VA",RICHMOND,VA,23230,Grocery Client,DivisionP
9660000554,"RICHMOND, VA",MECHANICSVILLE,VA,23111,Grocery Client,DivisionP
9660000555,"RICHMOND, VA",RICHMOND,VA,23220,Grocery Client,DivisionP
9660000556,"RICHMOND, VA",MIDLOTHIAN,VA,23112,Grocery Client,DivisionP
9660000557,"RICHMOND, VA",NORTH CHESTERFIELD,VA,23225,Grocery Client,DivisionP
9660000558,"RICHMOND, VA",MECHANICSVILLE,VA,23116,Grocery Client,DivisionP
9660000559,"RICHMOND, VA",RICHMOND,VA,23233,Grocery Client,DivisionP
9660000560,"RICHMOND, VA",CHESTER,VA,23831,Grocery Client,DivisionP
9660000561,"RICHMOND, VA",MIDLOTHIAN,VA,23113,Grocery Client,DivisionP
9660000562,"RICHMOND, VA",Henrico,VA,23229,Grocery Client,DivisionP
9660000563,VIRGINIA BEACH-NORFO,VIRGINIA BEACH,VA,23455,Grocery Client,DivisionP
9660000564,VIRGINIA BEACH-NORFO,VIRGINIA BEACH,VA,23454,Grocery Client,DivisionP
9660000567,VIRGINIA BEACH-NORFO,VIRGINIA BEACH,VA,23464,Grocery Client,DivisionP
9660000569,VIRGINIA BEACH-NORFO,VIRGINIA BEACH,VA,23452,Grocery Client,DivisionP
9660000570,VIRGINIA BEACH-NORFO,VIRGINIA BEACH,VA,23453,Grocery Client,DivisionP
9660000596,"TUCSON, AZ",TUCSON,AZ,85711,Grocery Client,DivisionK
9660000597,"TUCSON, AZ",TUCSON,AZ,85737,Grocery Client,DivisionK
9660000599,"TUCSON, AZ",TUCSON,AZ,85713,Grocery Client,DivisionK
9660000600,"TUCSON, AZ",TUCSON,AZ,85705,Grocery Client,DivisionK
9660000601,"TUCSON, AZ",TUCSON,AZ,85730,Grocery Client,DivisionK
9660000602,"TUCSON, AZ",TUCSON,AZ,85710,Grocery Client,DivisionK
9660000603,"TUCSON, AZ",TUCSON,AZ,85741,Grocery Client,DivisionK
9660000604,"TUCSON, AZ",TUCSON,AZ,85710,Grocery Client,DivisionK
9660000605,"TUCSON, AZ",TUCSON,AZ,85743,Grocery Client,DivisionK
9660000606,"TUCSON, AZ",TUCSON,AZ,85714,Grocery Client,DivisionK
9660000607,NON-MET AREA,SIERRA VISTA,AZ,85635,Grocery Client,DivisionK
9660000608,"TUCSON, AZ",TUCSON,AZ,85747,Grocery Client,DivisionK
9660000609,"TUCSON, AZ",TUCSON,AZ,85737,Grocery Client,DivisionK
9660000611,"TUCSON, AZ",TUCSON,AZ,85712,Grocery Client,DivisionK
9660000612,"TUCSON, AZ",TUCSON,AZ,85710,Grocery Client,DivisionK
9660000613,"TUCSON, AZ",TUCSON,AZ,85719,Grocery Client,DivisionK
9660000614,"TUCSON, AZ",SAHUARITA,AZ,85629,Grocery Client,DivisionK
9660000615,"TUCSON, AZ",MARANA,AZ,85658,Grocery Client,DivisionK
9660000641,PHOENIX-MESA-SCOTTSD,PHOENIX,AZ,85016,Grocery Client,DivisionK
9660000642,PHOENIX-MESA-SCOTTSD,SCOTTSDALE,AZ,85257,Grocery Client,DivisionK
9660000643,PHOENIX-MESA-SCOTTSD,GLENDALE,AZ,85306,Grocery Client,DivisionK
9660000644,PHOENIX-MESA-SCOTTSD,GLENDALE,AZ,85301,Grocery Client,DivisionK
9660000645,PHOENIX-MESA-SCOTTSD,GLENDALE,AZ,85303,Grocery Client,DivisionK
9660000646,PHOENIX-MESA-SCOTTSD,PHOENIX,AZ,85023,Grocery Client,DivisionK
9660000647,PHOENIX-MESA-SCOTTSD,GILBERT,AZ,85234,Grocery Client,DivisionK
9660000648,PHOENIX-MESA-SCOTTSD,TEMPE,AZ,85283,Grocery Client,DivisionK
9660000649,PHOENIX-MESA-SCOTTSD,MESA,AZ,85215,Grocery Client,DivisionK
9660000651,PHOENIX-MESA-SCOTTSD,SCOTTSDALE,AZ,85251,Grocery Client,DivisionK
9660000652,PHOENIX-MESA-SCOTTSD,GLENDALE,AZ,85302,Grocery Client,DivisionK
9660000653,PHOENIX-MESA-SCOTTSD,PHOENIX,AZ,85044,Grocery Client,DivisionK
9660000654,PHOENIX-MESA-SCOTTSD,GLENDALE,AZ,85308,Grocery Client,DivisionK
9660000655,PHOENIX-MESA-SCOTTSD,CHANDLER,AZ,85225,Grocery Client,DivisionK
9660000657,PHOENIX-MESA-SCOTTSD,PHOENIX,AZ,85053,Grocery Client,DivisionK
9660000658,PHOENIX-MESA-SCOTTSD,TEMPE,AZ,85283,Grocery Client,DivisionK
9660000659,PHOENIX-MESA-SCOTTSD,PEORIA,AZ,85381,Grocery Client,DivisionK
9660000660,PHOENIX-MESA-SCOTTSD,PHOENIX,AZ,85042,Grocery Client,DivisionK
9660000661,PHOENIX-MESA-SCOTTSD,CHANDLER,AZ,85224,Grocery Client,DivisionK
9660000662,PHOENIX-MESA-SCOTTSD,GILBERT,AZ,85233,Grocery Client,DivisionK
9660000663,PHOENIX-MESA-SCOTTSD,SCOTTSDALE,AZ,85254,Grocery Client,DivisionK
9660000664,PHOENIX-MESA-SCOTTSD,MESA,AZ,85206,Grocery Client,DivisionK
9660000665,PHOENIX-MESA-SCOTTSD,PEORIA,AZ,85345,Grocery Client,DivisionK
9660000666,PHOENIX-MESA-SCOTTSD,GLENDALE,AZ,85308,Grocery Client,DivisionK
9660000667,PHOENIX-MESA-SCOTTSD,SURPRISE,AZ,85374,Grocery Client,DivisionK
9660000668,PHOENIX-MESA-SCOTTSD,MESA,AZ,85210,Grocery Client,DivisionK
9660000669,PHOENIX-MESA-SCOTTSD,GILBERT,AZ,85296,Grocery Client,DivisionK
9660000670,PHOENIX-MESA-SCOTTSD,AVONDALE,AZ,85392,Grocery Client,DivisionK
